"","councils","years"
"355","A642",1990
"356","A642",1990
"357","A642",1990
"358","A642",1990
"359","A642",1990
"360","A642",1990
"361","A642",1990
"362","A642",1990
"363","A642",1990
"364","A642",1990
"365","A642",1990
"366","A642",1990
"367","A642",1990
"368","A642",1990
"369","A642",1990
"370","A642",1990
"371","A642",1990
"372","A642",1990
"373","A642",1990
"374","A642",1990
"375","A642",1990
"376","A642",1990
"377","A642",1990
"378","A642",1990
"379","A642",1990
"380","A642",1990
"381","A642",1990
"382","A642",1990
"383","A642",1990
"384","A642",1990
"385","A642",1990
"386","A642",1990
"387","A642",1990
"388","A642",1990
"389","A642",1990
"390","A642",1990
"391","A642",1990
"392","A642",1990
"393","A642",1990
"394","A642",1990
"395","A642",1990
"396","A642",1990
"397","A642",1990
"398","A642",1990
"399","A642",1990
"400","A642",1990
"401","A642",1990
"402","A642",1990
"403","A642",1990
"404","A642",1990
"405","A642",1990
"406","A642",1990
"407","A642",1990
"408","A642",1990
"409","A642",1990
"410","A642",1990
"411","A642",1990
"412","A642",1990
"413","A642",1990
"414","A642",1990
"415","A642",1990
"416","A642",1990
"417","A642",1990
"418","A642",1990
"419","A642",1990
"420","A642",1990
"421","A642",1990
"422","A642",1990
"423","A642",1990
"424","A642",1990
"425","A642",1990
"426","A642",1990
"427","A642",1990
"428","A642",1990
"429","A642",1990
"430","A642",1990
"431","A642",1990
"432","A642",1990
"433","A642",1990
"434","A642",1990
"435","A642",1990
"436","A642",1990
"437","A642",1990
"438","A642",1990
"439","A642",1990
"440","A642",1990
"441","A642",1990
"442","A642",1990
"443","A642",1990
"444","A642",1990
"445","A642",1990
"446","A642",1990
"447","A642",1990
"448","A642",1990
"449","A642",1990
"450","A642",1990
"451","A642",1990
"452","A642",1990
"453","A642",1990
"454","A642",1990
"455","A650",1990
"456","A658",1990
"457","A658",1990
"458","A658",1990
"459","A658",1990
"460","A658",1990
"461","A666",1990
"462","A666",1990
"463","A682",1990
"464","A716",1990
"465","A716",1990
"466","A733",1990
"467","A892",1990
"468","A892",1990
"469","A892",1990
"470","A892",1990
"471","A892",1990
"472","A546",1991
"473","A546",1991
"474","A546",1991
"475","A546",1991
"476","A546",1991
"477","A546",1991
"478","A546",1991
"479","A546",1991
"480","A546",1991
"481","A546",1991
"482","A546",1991
"483","A546",1991
"484","A546",1991
"485","A546",1991
"486","A546",1991
"487","A546",1991
"488","A546",1991
"489","A546",1991
"490","A546",1991
"491","A546",1991
"492","A546",1991
"493","A546",1991
"494","A546",1991
"495","A546",1991
"496","A546",1991
"497","A546",1991
"498","A546",1991
"499","A546",1991
"500","A546",1991
"501","A554",1991
"502","A554",1991
"503","A554",1991
"504","A554",1991
"505","A588",1991
"506","A588",1991
"507","A588",1991
"508","A588",1991
"509","A588",1991
"510","A588",1991
"511","A588",1991
"512","A588",1991
"513","A588",1991
"514","A588",1991
"515","A588",1991
"516","A588",1991
"517","A588",1991
"518","A588",1991
"519","A588",1991
"520","A588",1991
"521","A588",1991
"522","A588",1991
"523","A588",1991
"524","A588",1991
"525","A588",1991
"526","A588",1991
"527","A588",1991
"528","A588",1991
"529","A588",1991
"530","A588",1991
"531","A588",1991
"532","A588",1991
"533","A588",1991
"534","A588",1991
"535","A588",1991
"536","A588",1991
"537","A588",1991
"538","A588",1991
"539","A588",1991
"540","A588",1991
"541","A588",1991
"542","A588",1991
"543","A588",1991
"544","A588",1991
"545","A588",1991
"546","A588",1991
"547","A588",1991
"548","A588",1991
"549","A588",1991
"550","A588",1991
"551","A588",1991
"552","A588",1991
"553","A588",1991
"554","A588",1991
"555","A588",1991
"556","A588",1991
"557","A588",1991
"558","A588",1991
"559","A588",1991
"560","A588",1991
"561","A588",1991
"562","A588",1991
"563","A588",1991
"564","A588",1991
"565","A588",1991
"566","A588",1991
"567","A588",1991
"568","A588",1991
"569","A588",1991
"570","A588",1991
"571","A588",1991
"572","A588",1991
"573","A588",1991
"574","A588",1991
"575","A588",1991
"576","A588",1991
"577","A588",1991
"578","A588",1991
"579","A588",1991
"580","A588",1991
"581","A588",1991
"582","A588",1991
"583","A588",1991
"584","A588",1991
"585","A588",1991
"586","A588",1991
"587","A588",1991
"588","A588",1991
"589","A588",1991
"590","A588",1991
"591","A588",1991
"592","A588",1991
"593","A588",1991
"594","A588",1991
"595","A588",1991
"596","A588",1991
"597","A588",1991
"598","A588",1991
"599","A588",1991
"600","A588",1991
"601","A588",1991
"602","A588",1991
"603","A588",1991
"604","A588",1991
"605","A588",1991
"606","A624",1991
"607","A624",1991
"608","A624",1991
"609","A624",1991
"610","A624",1991
"611","A624",1991
"612","A624",1991
"613","A624",1991
"614","A624",1991
"615","A624",1991
"616","A624",1991
"617","A624",1991
"618","A624",1991
"619","A624",1991
"620","A624",1991
"621","A624",1991
"622","A624",1991
"623","A624",1991
"624","A624",1991
"625","A624",1991
"626","A624",1991
"627","A624",1991
"628","A624",1991
"629","A624",1991
"630","A624",1991
"631","A624",1991
"632","A624",1991
"633","A624",1991
"634","A624",1991
"635","A624",1991
"636","A624",1991
"637","A624",1991
"638","A624",1991
"639","A624",1991
"640","A624",1991
"641","A624",1991
"642","A624",1991
"643","A624",1991
"644","A624",1991
"645","A624",1991
"646","A624",1991
"647","A624",1991
"648","A624",1991
"649","A624",1991
"650","A624",1991
"651","A624",1991
"652","A624",1991
"653","A624",1991
"654","A624",1991
"655","A624",1991
"656","A624",1991
"657","A624",1991
"658","A624",1991
"659","A624",1991
"660","A624",1991
"661","A624",1991
"662","A624",1991
"663","A624",1991
"664","A624",1991
"665","A624",1991
"666","A624",1991
"667","A624",1991
"668","A624",1991
"669","A624",1991
"670","A624",1991
"671","A624",1991
"672","A624",1991
"673","A624",1991
"674","A624",1991
"675","A624",1991
