nm_ue;sq_candidato;nm_urna_candidato;ds_sit_tot_turno
SÃO GONÇALO;1,90001E+11;DIMAS GADELHA;2º TURNO
SÃO JOÃO DE MERITI;1,90001E+11;DR JOÃO;ELEITO
SÃO JOÃO DE MERITI;1,90001E+11;LEO VIEIRA;2º TURNO
SÃO LUÍS;1,00001E+11;EDUARDO BRAIDE;ELEITO
SÃO LUÍS;1,00001E+11;DUARTE;2º TURNO
SÃO PAULO;2,50001E+11;GUILHERME BOULOS;2º TURNO
SÃO PAULO;2,50001E+11;BRUNO COVAS;ELEITO
SÃO VICENTE;2,50001E+11;KAYO AMADO;ELEITO
SÃO VICENTE;2,50001E+11;SOLANGE FREITAS;2º TURNO
SERRA;80000841104;FABIO;2º TURNO
SERRA;80001189870;SERGIO VIDIGAL;ELEITO
SOROCABA;2,50001E+11;RODRIGO MANGA;ELEITO
SOROCABA;2,50001E+11;JAQUELINE COUTINHO;2º TURNO
TABOÃO DA SERRA;2,50001E+11;ENGENHEIRO DANIEL;2º TURNO
TABOÃO DA SERRA;2,50001E+11;APRIGIO;ELEITO
TAUBATÉ;2,50001E+11;LORENY;2º TURNO
TAUBATÉ;2,50001E+11;SAUD;ELEITO
TERESINA;1,80001E+11;KLEBER MONTEZUMA;2º TURNO
TERESINA;1,80001E+11;DR PESSOA;ELEITO
UBERABA;1,30001E+11;TONY CARLOS;2º TURNO
UBERABA;1,30001E+11;ELISA ARAÚJO;ELEITO
VILA VELHA;80000713125;ARNALDINHO BORGO;ELEITO
VILA VELHA;80001132231;MAX FILHO;2º TURNO
VITÓRIA;80001072803;JOAO COSER;2º TURNO
VITÓRIA;80001188308;DELEGADO PAZOLINI;ELEITO
VITÓRIA DA CONQUISTA;50000925547;HERZEM GUSMÃO;ELEITO
VITÓRIA DA CONQUISTA;50001198114;ZÉ RAIMUNDO;2º TURNO
